客户ID,客户姓名,联系电话,注册日期,年龄,消费金额,消费类别,会员等级,所在城市,备注
C061,黄二,138 1234 5738,2024/09/23,24,2200,图书,金卡,SHENZHEN,
C062,  赵三  ,13812345739,2024.09.22,,1.6千,,银卡,北京,
C063,周四,,2024年9月21日,27,2500,食品,金卡,上海,
C064,吴五,138-1234-5741,2024/09/20,21,3100,家电,,guangzhou,
C065,郑六  ,13912345742,20240919,,880,服装,白金卡,,
C066,王七,138 1234 5743,2024-09-18,25,2.7k,电子产品,普通,深圳,
C067,李八,13812345744,,22,1750,图书,金卡,Beijing,
C068,  张九  ,138-1234-5745,2024/09/16,26,2100,食品,,上海,
C069,刘十,13912345746,2024.09.15,,3.5万,家电,白金卡,guangzhou,
C070,陈一,138 1234 5747,2024年9月14日,23,1200,服装,银卡,深圳,
C071,杨二  ,,20240913,24,,电子产品,金卡,,
C072,黄三,13812345749,2024/09/12,27,2400,图书,银卡,北京,
C073,  赵四,138-1234-5750,2024.09.11,,1850,食品,,Shanghai,
C074,周五  ,13912345751,2024年9月10日,21,2.9k,家电,金卡,guangzhou,
C075,吴六,138 1234 5752,2024/09/09,25,1650,服装,银卡,,
C076,郑七,,20240908,22,,电子产品,普通,深圳,
C077,王八,13812345754,2024-09-07,,2700,图书,金卡,BEIJING,
C078,  李九  ,138-1234-5755,2024/09/06,26,1.5千,食品,,上海,
C079,张十,13912345756,2024.09.05,23,3200,家电,白金卡,guangzhou,
C080,刘一  ,138 1234 5757,,24,950,服装,银卡,深圳,
